Cities of France	Postal code
France	0
Alsace	353
Bas-Rhin	36348
Achenheim 	67204
Adamswiller 	67320
Albé 	67220
Allenwiller 	67310
Alteckendorf 	67270
Altenheim 	67490
Altorf 	67120
Altwiller 	67260
Andlau 	67140
Artolsheim 	67390
Aschbach 	67250
Asswiller 	67320
Auenheim 	67480
Avolsheim 	67120
Baerendorf 	67320
Balbronn 	67310
Baldenheim 	67600
Barembach 	67130
Barr 	67140
Bassemberg 	67220
Batzendorf 	67500
Beinheim 	67930
Bellefosse 	67130
Belmont 	67130
Benfeld 	67230
Berg 	67320
Bergbieten 	67310
Bernardswiller 	67210
Bernardvillé 	67140
Bernolsheim 	67170
Berstett 	67370
Berstheim 	67170
Betschdorf 	67660
Bettwiller 	67320
Biblisheim 	67360
Bietlenheim 	67720
Bilwisheim 	67170
Bindernheim 	67600
Birkenwald 	67440
Bischheim 	67800
Bischholtz 	67340
Bischoffsheim 	67870
Bischwiller 	67240
Bissert 	67260
Bitschhoffen 	67350
Blaesheim 	67113
Blancherupt 	67130
Blienschwiller 	67650
Bolsenheim 	67150
Boofzheim 	67860
Bootzheim 	67390
Bossendorf 	67270
Bourg-Bruche 	67420
Bourgheim 	67140
Bouxwiller 	67330
Breitenau 	67220
Breitenbach 	67220
Breuschwickersheim 	67112
Brumath 	67170
Buhl 	67470
Burbach 	67260
Bust 	67320
Buswiller 	67350
Butten 	67430
Bœrsch 	67530
Bœsenbiesen 	67390
Châtenois 	67730
Cleebourg 	67160
Climbach 	67510
Colroy-la-Roche 	67420
Cosswiller 	67310
Crastatt 	67310
Crœttwiller 	67470
Dachstein 	67120
Dahlenheim 	67310
Dalhunden 	67770
Dambach 	67110
Dambach-la-Ville 	67650
Dangolsheim 	67310
Daubensand 	67150
Dauendorf 	67350
Dehlingen 	67430
Dettwiller 	67490
Diebolsheim 	67230
Diedendorf 	67260
Dieffenbach-au-Val 	67220
Dieffenbach-lès-Wœrth 	67360
Dieffenthal 	67650
Diemeringen 	67430
Dimbsthal 	67440
Dingsheim 	67370
Dinsheim 	67190
Domfessel 	67430
Donnenheim 	67170
Dorlisheim 	67120
Dossenheim-Kochersberg 	67117
Dossenheim-sur-Zinsel 	67330
Drachenbronn-Birlenbach 	67160
Drulingen 	67320
Drusenheim 	67410
Duntzenheim 	67270
Duppigheim 	67120
Durningen 	67270
Durrenbach 	67360
Durstel 	67320
Duttlenheim 	67120
Eberbach-Seltz 	67470
Ebersheim 	67600
Ebersmunster 	67600
Eckartswiller 	67700
Eckbolsheim 	67201
Eckwersheim 	67550
Eichhoffen 	67140
Elsenheim 	67390
Engwiller 	67350
Entzheim 	67960
Epfig 	67680
Erckartswiller 	67290
Ergersheim 	67120
Ernolsheim-Bruche 	67120
Ernolsheim-lès-Saverne 	67330
Erstein 	67150
Eschau 	67114
Eschbach 	67360
Eschbourg 	67320
Eschwiller 	67320
Ettendorf 	67350
Eywiller 	67320
Fegersheim 	67640
Fessenheim-le-Bas 	67117
Flexbourg 	67310
Forstfeld 	67480
Forstheim 	67580
Fort-Louis 	67480
Fouchy 	67220
Fouday 	67130
Friedolsheim 	67490
Friesenheim 	67860
Frohmuhl 	67290
Frœschwiller 	67360
Furchhausen 	67700
Furdenheim 	67117
Gambsheim 	67760
Geispolsheim 	67118
Geiswiller 	67270
Gerstheim 	67150
Gertwiller 	67140
Geudertheim 	67170
Gingsheim 	67270
Gottenhouse 	67700
Gottesheim 	67490
Gougenheim 	67270
Goxwiller 	67210
Grandfontaine 	67130
Grassendorf 	67350
Grendelbruch 	67190
Gresswiller 	67190
Gries 	67240
Griesheim-près-Molsheim 	67870
Griesheim-sur-Souffel 	67370
Gumbrechtshoffen 	67110
Gundershoffen 	67110
Gungwiller 	67320
Gunstett 	67360
Gœrlingen 	67320
Gœrsdorf 	67360
Haegen 	67700
Haguenau 	67500
Handschuheim 	67117
Hangenbieten 	67980
Harskirchen 	67260
Hatten 	67690
Hattmatt 	67330
Hegeney 	67360
Heidolsheim 	67390
Heiligenberg 	67190
Heiligenstein 	67140
Hengwiller 	67440
Herbitzheim 	67260
Herbsheim 	67230
Herrlisheim 	67850
Hessenheim 	67390
Hilsenheim 	67600
Hindisheim 	67150
Hinsbourg 	67290
Hinsingen 	67260
Hipsheim 	67150
Hirschland 	67320
Hochfelden 	67270
Hochstett 	67170
Hoffen 	67250
Hohatzenheim 	67170
Hohengœft 	67310
Hohfrankenheim 	67270
Holtzheim 	67810
Hunspach 	67250
Hurtigheim 	67117
Huttendorf 	67270
Huttenheim 	67230
Hœnheim 	67800
Hœrdt 	67720
Ichtratzheim 	67640
Illkirch-Graffenstaden 	67400
Ingenheim 	67270
Ingolsheim 	67250
Ingwiller 	67340
Innenheim 	67880
Issenhausen 	67330
Ittenheim 	67117
Itterswiller 	67140
Jetterswiller 	67440
Kaltenhouse 	67240
Kauffenheim 	67480
Keffenach 	67250
Kertzfeld 	67230
Keskastel 	67260
Kesseldorf 	67930
Kienheim 	67270
Kilstett 	67840
Kindwiller 	67350
Kintzheim 	67600
Kirchheim 	67520
Kirrberg 	67320
Kirrwiller-Bosselshausen 	67330
Kleingœft 	67440
Knœrsheim 	67310
Kogenheim 	67230
Kolbsheim 	67120
Krautergersheim 	67880
Krautwiller 	67170
Kriegsheim 	67170
Kurtzenhouse 	67240
Kuttolsheim 	67520
Kutzenhausen 	67250
La Broque 	67130
La Petite-Pierre 	67290
La Vancelle 	67220
La Vancelle 	67730
La Walck 	67350
La Wantzenau 	67610
Lalaye 	67220
Lampertheim 	67450
Lampertsloch 	67250
Landersheim 	67700
Langensoultzbach 	67360
Laubach 	67580
Lauterbourg 	67630
Le Hohwald 	67140
Lembach 	67510
Leutenheim 	67480
Lichtenberg 	67340
Limersheim 	67150
Lingolsheim 	67380
Lipsheim 	67640
Littenheim 	67490
Lixhausen 	67270
Lobsann 	67250
Lochwiller 	67440
Lohr 	67290
Lorentzen 	67430
Lupstein 	67490
Lutzelhouse 	67130
Mackenheim 	67390
Mackwiller 	67430
Maennolsheim 	67700
Maisonsgoutte 	67220
Marckolsheim 	67390
Marlenheim 	67520
Marmoutier 	67440
Matzenheim 	67150
Meistratzheim 	67210
Melsheim 	67270
Memmelshoffen 	67250
Menchhoffen 	67340
Merkwiller-Pechelbronn 	67250
Mertzwiller 	67580
Mietesheim 	67580
Minversheim 	67270
Mittelbergheim 	67140
Mittelhausbergen 	67206
Mittelhausen 	67170
Mittelschaeffolsheim 	67170
Mollkirch 	67190
Molsheim 	67120
Mommenheim 	67670
Monswiller 	67700
Morsbronn-les-Bains 	67360
Morschwiller 	67350
Mothern 	67470
Muhlbach-sur-Bruche 	67130
Mulhausen 	67350
Munchhausen 	67470
Mundolsheim 	67450
Mussig 	67600
Muttersholtz 	67600
Mutzenhouse 	67270
Mutzig 	67190
Natzwiller 	67130
Neewiller-près-Lauterbourg 	67630
Neubois 	67220
Neugartheim-Ittlenheim 	67370
Neuhaeusel 	67480
Neuve-Eglise 	67220
Neuviller-la-Roche 	67130
Neuwiller-lès-Saverne 	67330
Niederbronn-les-Bains 	67110
Niederhaslach 	67280
Niederhausbergen 	67207
Niederlauterbach 	67630
Niedermodern 	67350
Niedernai 	67210
Niederrœdern 	67470
Niederschaeffolsheim 	67500
Niedersoultzbach 	67330
Niedersteinbach 	67510
Nordheim 	67520
Nordhouse 	67150
Nothalten 	67680
Obenheim 	67230
Oberbronn 	67110
Oberdorf-Spachbach 	67360
Oberhaslach 	67280
Oberhausbergen 	67205
Oberhoffen-lès-Wissembourg 	67160
Oberhoffen-sur-Moder 	67240
Oberlauterbach 	67160
Obermodern-Zutzendorf 	67330
Obernai 	67210
Oberrœdern 	67250
Oberschaeffolsheim 	67203
Obersoultzbach 	67330
Obersteinbach 	67510
Odratzheim 	67520
Oermingen 	67970
Offendorf 	67850
Offwiller 	67340
Ohlungen 	67590
Ohnenheim 	67390
Olwisheim 	67170
Orschwiller 	67600
Osthoffen 	67990
Osthouse 	67150
Ostwald 	67540
Ottersthal 	67700
Otterswiller 	67700
Ottrott 	67530
Ottwiller 	67320
Petersbach 	67290
Pfaffenhoffen 	67350
Pfalzweyer 	67320
Pfettisheim 	67370
Pfulgriesheim 	67370
Plaine 	67420
Plobsheim 	67115
Preuschdorf 	67250
Printzheim 	67490
Puberg 	67290
Quatzenheim 	67117
Rangen 	67310
Ranrupt 	67420
Ratzwiller 	67430
Rauwiller 	67320
Reichsfeld 	67140
Reichshoffen 	67110
Reichstett 	67116
Reinhardsmunster 	67440
Reipertswiller 	67340
Retschwiller 	67250
Reutenbourg 	67440
Rexingen 	67320
Rhinau 	67860
Richtolsheim 	67390
Riedseltz 	67160
Rimsdorf 	67260
Ringeldorf 	67350
Ringendorf 	67350
Rittershoffen 	67690
Rohr 	67270
Rohrwiller 	67410
Romanswiller 	67310
Roppenheim 	67480
Rosenwiller 	67560
Rosheim 	67560
Rossfeld 	67230
Rosteig 	67290
Rothau 	67570
Rothbach 	67340
Rott 	67160
Rottelsheim 	67170
Rountzenheim 	67480
Russ 	67130
Rœschwoog 	67480
Saales 	67420
Saasenheim 	67390
Saessolsheim 	67270
Saint-Blaise-la-Roche 	67420
Saint-Jean-Saverne 	67700
Saint-Martin 	67220
Saint-Maurice 	67220
Saint-Nabor 	67530
Saint-Pierre 	67140
Saint-Pierre-Bois 	67220
Salenthal 	67440
Salmbach 	67160
Sand 	67230
Sarre-Union 	67260
Sarrewerden 	67260
Saulxures 	67420
Saverne 	67700
Schaeffersheim 	67150
Schaffhouse-près-Seltz 	67470
Schaffhouse-sur-Zorn 	67270
Schalkendorf 	67350
Scharrachbergheim-Irmstett 	67310
Scheibenhard 	67630
Scherlenheim 	67270
Scherwiller 	67750
Schillersdorf 	67340
Schiltigheim 	67300
Schirmeck 	67130
Schirrhein 	67240
Schirrhoffen 	67240
Schleithal 	67160
Schnersheim 	67370
Schopperten 	67260
Schweighouse-sur-Moder 	67590
Schwenheim 	67440
Schwindratzheim 	67270
Schwobsheim 	67390
Schœnau 	67390
Schœnbourg 	67320
Schœnenbourg 	67250
Seebach 	67160
Sélestat 	67600
Seltz 	67470
Sermersheim 	67230
Sessenheim 	67770
Siegen 	67160
Siewiller 	67320
Siltzheim 	67260
Singrist 	67440
Solbach 	67130
Souffelweyersheim 	67460
Soufflenheim 	67620
Soultz-les-Bains 	67120
Soultz-sous-Forêts 	67250
Sparsbach 	67340
Stattmatten 	67770
Steige 	67220
Steinbourg 	67790
Steinseltz 	67160
Still 	67190
Stotzheim 	67140
Strasbourg 	67000
Strasbourg 	67100
Strasbourg 	67200
Struth 	67290
Stundwiller 	67250
Stutzheim-Offenheim 	67370
Sundhouse 	67920
Surbourg 	67250
Thal-Drulingen 	67320
Thal-Marmoutier 	67440
Thanvillé 	67220
Tieffenbach 	67290
Traenheim 	67310
Triembach-au-Val 	67220
Trimbach 	67470
Truchtersheim 	67370
Uberach 	67350
Uhlwiller 	67350
Uhrwiller 	67350
Urbeis 	67220
Urmatt 	67280
Uttenheim 	67150
Uttenhoffen 	67110
Uttwiller 	67330
Valff 	67210
Vendenheim 	67550
Villé 	67220
Volksberg 	67290
Vœllerdingen 	67430
Wahlenheim 	67170
Walbourg 	67360
Waldersbach 	67130
Waldhambach 	67430
Waldolwisheim 	67700
Waltenheim-sur-Zorn 	67670
Wangen 	67520
Wangenbourg-Engenthal 	67710
Wasselonne 	67310
Weinbourg 	67340
Weislingen 	67290
Weitbruch 	67500
Weiterswiller 	67340
Westhoffen 	67310
Westhouse 	67230
Westhouse-Marmoutier 	67440
Weyer 	67320
Weyersheim 	67720
Wickersheim-Wilshausen 	67270
Wildersbach 	67130
Willgottheim 	67370
Wilwisheim 	67270
Wimmenau 	67290
Windstein 	67110
Wingen 	67510
Wingen-sur-Moder 	67290
Wingersheim 	67170
Wintershouse 	67590
Wintzenbach 	67470
Wintzenheim-Kochersberg 	67370
Wisches 	67130
Wissembourg 	67160
Witternheim 	67230
Wittersheim 	67670
Wittisheim 	67820
Wiwersheim 	67370
Wolfisheim 	67202
Wolfskirchen 	67260
Wolschheim 	67700
Wolxheim 	67120
Wœrth 	67360
Zehnacker 	67310
Zeinheim 	67310
Zellwiller 	67140
Zinswiller 	67110
Zittersheim 	67290
Zœbersdorf 	67270
Haut-Rhin	36348
Algolsheim 	68600
Altenach 	68210
Altkirch 	68130
Ammerschwihr 	68770
Ammerzwiller 	68210
Andolsheim 	68280
Appenwihr 	68280
Artzenheim 	68320
Aspach 	68130
Aspach-le-Bas 	68700
Aspach-le-Haut 	68700
Attenschwiller 	68220
Aubure 	68150
Baldersheim 	68390
Balgau 	68740
Ballersdorf 	68210
Balschwiller 	68210
Baltzenheim 	68320
Bantzenheim 	68490
Bartenheim 	68870
Battenheim 	68390
Beblenheim 	68980
Bellemagny 	68210
Bendorf 	68480
Bennwihr 	68126
Berentzwiller 	68130
Bergheim 	68750
Bergholtz 	68500
Bergholtzzell 	68500
Bernwiller 	68210
Berrwiller 	68500
Bettendorf 	68560
Bettlach 	68480
Biederthal 	68480
Biesheim 	68600
Biltzheim 	68127
Bischwihr 	68320
Bisel 	68580
Bitschwiller-lès-Thann 	68620
Blodelsheim 	68740
Blotzheim 	68730
Bollwiller 	68540
Bourbach-le-Bas 	68290
Bourbach-le-Haut 	68290
Bouxwiller 	68480
Bréchaumont 	68210
Breitenbach-Haut-Rhin 	68380
Bretten 	68780
Brinckheim 	68870
Bruebach 	68440
Brunstatt 	68350
Buethwiller 	68210
Buhl 	68530
Burnhaupt-le-Bas 	68520
Burnhaupt-le-Haut 	68520
Buschwiller 	68220
Carspach 	68130
Cernay 	68700
Chalampé 	68490
Chavannes-sur-l'Etang 	68210
Colmar 	68000
Courtavon 	68480
Dannemarie 	68210
Dessenheim 	68600
Didenheim 	68350
Diefmatten 	68780
Dietwiller 	68440
Dolleren 	68290
Durlinsdorf 	68480
Durmenach 	68480
Durrenentzen 	68320
Eglingen 	68720
Eguisheim 	68420
Elbach 	68210
Emlingen 	68130
Ensisheim 	68190
Eschbach-au-Val 	68140
Eschentzwiller 	68440
Eteimbes 	68210
Falkwiller 	68210
Feldbach 	68640
Feldkirch 	68540
Fellering 	68470
Ferrette 	68480
Fessenheim 	68740
Fislis 	68480
Flaxlanden 	68720
Folgensbourg 	68220
Fortschwihr 	68320
Franken 	68130
Fréland 	68240
Friesen 	68580
Frœningen 	68720
Fulleren 	68210
Galfingue 	68990
Geishouse 	68690
Geispitzen 	68510
Geiswasser 	68600
Gildwiller 	68210
Goldbach-Altenbach 	68760
Gommersdorf 	68210
Grentzingen 	68960
Griesbach-au-Val 	68140
Grussenheim 	68320
Gueberschwihr 	68420
Guebwiller 	68500
Guémar 	68970
Guevenatten 	68210
Guewenheim 	68116
Gundolsheim 	68250
Gunsbach 	68140
Habsheim 	68440
Hagenbach 	68210
Hagenthal-le-Bas 	68220
Hagenthal-le-Haut 	68220
Hartmannswiller 	68500
Hattstatt 	68420
Hausgauen 	68130
Hecken 	68210
Hégenheim 	68220
Heidwiller 	68720
Heimersdorf 	68560
Heimsbrunn 	68990
Heiteren 	68600
Heiwiller 	68130
Helfrantzkirch 	68510
Henflingen 	68960
